                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.54714,                  1.643,                0.83324,                0.99863,                      1,                  0.995,                0.87833,                0.53778,                 1.5476,                0.84256,             0.00065909,             0.00065909,             0.00065909
                      2,                0.54692,                0.88886,                0.83823,                0.99979,                      1,                  0.995,                0.87518,                0.54004,                0.49878,                0.89483,              0.0011945,              0.0011945,              0.0011945
                      3,                0.53602,                0.64016,                0.84338,                0.99974,                      1,                  0.995,                0.88103,                0.51046,                0.39677,                0.87214,              0.0015979,              0.0015979,              0.0015979
                      4,                0.49627,                 0.4813,                0.83317,                0.99977,                      1,                  0.995,                0.89163,                0.46928,                0.32561,                0.85348,               0.001406,               0.001406,               0.001406
                      5,                0.50058,                0.41528,                0.84034,                0.99985,                      1,                  0.995,                 0.9008,                0.45795,                0.30459,                0.84902,               0.001406,               0.001406,               0.001406
                      6,                 0.4678,                0.35386,                0.82798,                0.99979,                      1,                  0.995,                0.90078,                0.45039,                0.27066,                0.84637,               0.001208,               0.001208,               0.001208
                      7,                0.45531,                   0.33,                0.83232,                0.99981,                      1,                  0.995,                0.90912,                 0.4196,                0.24734,                0.83969,                0.00101,                0.00101,                0.00101
                      8,                0.44318,                 0.2981,                0.82638,                0.99981,                      1,                  0.995,                0.90771,                0.42944,                0.24456,                0.84023,               0.000812,               0.000812,               0.000812
                      9,                0.43214,                0.28013,                0.82094,                0.99981,                      1,                  0.995,                 0.9099,                0.41805,                0.22998,                 0.8406,               0.000614,               0.000614,               0.000614
                     10,                0.40112,                0.25681,                0.81849,                0.99984,                      1,                  0.995,                0.93279,                0.39457,                0.20375,                0.83103,               0.000416,               0.000416,               0.000416
